,icd10 chapter,target,prevalence,time_stamp,recall,precision,f1-score,pr_auc,roc_auc,brier_score_loss,random_seed,target_label,training_percentage,estimator,featurizer,estimator_label
0,Certain infectious and parasitic diseases,1,9.903244166192373,08-26-2023-22-24-27,0.0,0.0,0.0,0.12486445695699139,0.5594607939239477,0.09209509507288326,3,1,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
1,Certain infectious and parasitic diseases,1,9.903244166192373,08-27-2023-02-39-42,0.0,0.0,0.0,0.18881457723433653,0.6696364388873156,0.08600356085130874,3,1,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
2,Certain infectious and parasitic diseases,1,9.903244166192373,08-26-2023-22-49-39,0.0,0.0,0.0,0.11783523934604793,0.5548972197413611,0.09147913929816405,3,1,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
3,Certain infectious and parasitic diseases,1,9.903244166192373,08-26-2023-13-49-02,0.0,0.0,0.0,0.16600323416365229,0.6614459668460148,0.08718556674273001,2,1,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
4,Certain infectious and parasitic diseases,1,9.903244166192373,08-25-2023-20-46-02,0.0,0.0,0.0,0.18801686502442982,0.6613297899376275,0.08620844983484538,1,1,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
5,Certain infectious and parasitic diseases,1,9.903244166192373,08-26-2023-16-07-39,0.0,0.0,0.0,0.18312004760593875,0.6802775175899101,0.0865864779161131,2,1,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
6,Certain infectious and parasitic diseases,1,9.903244166192373,08-28-2023-17-13-07,0.0,0.0,0.0,0.08345397114337633,0.42560684281990396,0.09543522339359352,4,1,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
7,Certain infectious and parasitic diseases,1,9.903244166192373,08-26-2023-21-17-58,0.0,0.0,0.0,0.12962672758760702,0.5750611744033226,0.08926394255815917,1,1,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
8,Certain infectious and parasitic diseases,1,9.903244166192373,08-27-2023-05-29-21,0.0,0.0,0.0,0.19454903344621338,0.6753690432105488,0.08554660351977354,3,1,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
9,Certain infectious and parasitic diseases,1,9.903244166192373,08-26-2023-21-38-27,0.0,0.0,0.0,0.09654739532900218,0.4792297470973926,0.09013564031981013,2,1,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
10,Certain infectious and parasitic diseases,1,9.903244166192373,08-25-2023-18-30-16,0.0,0.0,0.0,0.1632556411942084,0.6275695064659711,0.08765174569734317,1,1,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
11,Certain infectious and parasitic diseases,1,9.903244166192373,08-27-2023-07-28-28,0.0,0.0,0.0,0.17118459282961784,0.6434748513298625,0.08703962218688648,4,1,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
12,Certain infectious and parasitic diseases,1,9.903244166192373,08-27-2023-00-09-00,0.0,0.0,0.0,0.17618406760677563,0.653384378562456,0.08697566655794613,3,1,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
13,Certain infectious and parasitic diseases,1,9.903244166192373,08-26-2023-20-56-42,0.0,0.0,0.0,0.0866630326013535,0.4251748099418389,0.09307873434568954,1,1,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
14,Certain infectious and parasitic diseases,1,9.903244166192373,08-27-2023-13-13-01,0.0,0.0,0.0,0.18273898144203748,0.6651200615737614,0.08629300315225615,4,1,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
15,Certain infectious and parasitic diseases,1,9.903244166192373,08-26-2023-20-16-22,0.0,0.0,0.0,0.08688395360993982,0.44345452037089483,0.0907002467977608,0,1,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
16,Certain infectious and parasitic diseases,1,9.903244166192373,08-26-2023-18-50-42,0.0,0.0,0.0,0.18528812275380907,0.6781391363699072,0.08600797183242916,2,1,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
17,Certain infectious and parasitic diseases,1,9.903244166192373,08-25-2023-16-38-07,0.0,0.0,0.0,0.174978777076115,0.6574596466769773,0.08659085718612547,0,1,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
18,Certain infectious and parasitic diseases,1,9.903244166192373,08-25-2023-13-28-22,0.0,0.0,0.0,0.1764756984952861,0.6512042462660016,0.08725603128426287,0,1,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
19,Certain infectious and parasitic diseases,1,9.903244166192373,08-25-2023-11-00-50,0.0,0.0,0.0,0.1488638589972363,0.6131345255988556,0.0908396721836104,0,1,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
20,Certain infectious and parasitic diseases,1,9.903244166192373,08-28-2023-12-57-13,0.0,0.0,0.0,0.195070789798025,0.6773585727666804,0.08530292817499165,1,1,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
21,Certain infectious and parasitic diseases,1,9.903244166192373,08-27-2023-10-00-40,0.0,0.0,0.0,0.19647515339386656,0.6679119379034424,0.08575452361369446,4,1,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
22,Certain infectious and parasitic diseases,1,9.903244166192373,08-28-2023-17-36-56,0.0,0.0,0.0,0.10021387213083348,0.5069887671451703,0.09111620000385175,4,1,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
23,Certain infectious and parasitic diseases,1,9.903244166192373,08-26-2023-20-37-13,0.0,0.0,0.0,0.09288705298043953,0.46756848991802263,0.09063070553637786,0,1,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
24,Certain infectious and parasitic diseases,1,9.903244166192373,08-26-2023-22-01-28,0.0,0.0,0.0,0.10126565303061241,0.5054530536374264,0.0906173376727813,2,1,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
25,Neoplasms,2,20.204894706886737,08-28-2023-11-43-03,0.6253521126760564,0.7474747474747475,0.6809815950920246,0.73662913479085,0.883644089931888,0.09156770089527358,1,2,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
26,Neoplasms,2,20.204894706886737,08-27-2023-04-13-27,0.5943661971830986,0.793233082706767,0.679549114331723,0.732348468187883,0.885780876413976,0.09042628757288122,3,2,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
27,Neoplasms,2,20.204894706886737,08-27-2023-06-46-16,0.056338028169014086,0.7142857142857143,0.10443864229765012,0.5727717148977188,0.8353840589901751,0.12544511944218265,4,2,0.5,CEHR-BERT,CEHR-BERT,CEHR-BERT
28,Neoplasms,2,20.204894706886737,08-25-2023-12-16-03,0.5915492957746479,0.7608695652173914,0.6656101426307449,0.7272476699719369,0.8886198790460308,0.09035365897624685,0,2,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
29,Neoplasms,2,20.204894706886737,08-27-2023-11-50-19,0.5774647887323944,0.7765151515151515,0.6623586429725363,0.7125984895974374,0.8749934700930261,0.09413591472244341,4,2,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
30,Neoplasms,2,20.204894706886737,08-25-2023-15-13-02,0.5887323943661972,0.76,0.6634920634920635,0.73391435390948,0.8828072572381508,0.09082902410722088,0,2,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
31,Neoplasms,2,20.204894706886737,08-26-2023-20-10-08,0.0,0.0,0.0,0.3427196586280327,0.7009413112053204,0.16590922076965714,0,2,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
32,Neoplasms,2,20.204894706886737,08-26-2023-20-50-18,0.0,0.0,0.0,0.1788413082566656,0.465012758433626,0.16365293417671023,1,2,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
33,Neoplasms,2,20.204894706886737,08-28-2023-17-26-33,0.0,0.0,0.0,0.3854432598520058,0.7247453336280163,0.1488188057314244,4,2,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
34,Neoplasms,2,20.204894706886737,08-26-2023-21-31-23,0.0,0.0,0.0,0.2773000270909812,0.6322055011954753,0.15736915880353528,2,2,0.02,CEHR-BERT,CEHR-BERT,CEHR-BERT
35,Neoplasms,2,20.204894706886737,08-26-2023-15-00-07,0.49859154929577465,0.7531914893617021,0.5999999999999999,0.6892976481865891,0.8615539169395832,0.10328664306123353,2,2,0.9,CEHR-BERT,CEHR-BERT,CEHR-BERT
36,Neoplasms,2,20.204894706886737,08-26-2023-21-51-45,0.0,0.0,0.0,0.25295516763593284,0.6075435494565108,0.15879733734643686,2,2,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
37,Neoplasms,2,20.204894706886737,08-26-2023-20-28-07,0.0,0.0,0.0,0.5215193697926195,0.7956641417693033,0.14260948451448047,0,2,0.1,CEHR-BERT,CEHR-BERT,CEHR-BERT
38,Neoplasms,2,20.204894706886737,08-26-2023-17-36-25,0.476056338028169,0.8009478672985783,0.5971731448763251,0.7122952960983029,0.8725141146450743,0.09858991214984142,2,2,0.99,CEHR-BERT,CEHR-BERT,CEHR-BERT
