icd10 chapter,target,prevalence,time_stamp,recall,precision,f1-score,pr_auc,roc_auc,random_seed,target_label,training_percentage
Certain infectious and parasitic diseases,1,0.088706761480053,05-09-2023-04-14-45,0.0,0.0,0.0,0.1209534861674636,0.663098804279421,1,1,1.0
Certain infectious and parasitic diseases,1,0.088706761480053,05-09-2023-20-52-12,0.0,0.0,0.0,0.11700204261666075,0.6216840780365009,1,1,0.5
Certain infectious and parasitic diseases,1,0.088706761480053,05-10-2023-18-25-08,0.0,0.0,0.0,0.07184101460783013,0.4934600377595972,0,1,0.1
Certain infectious and parasitic diseases,1,0.088706761480053,05-09-2023-07-55-12,0.0,0.0,0.0,0.12025177870991016,0.6501900566393958,2,1,1.0
Certain infectious and parasitic diseases,1,0.088706761480053,05-10-2023-03-32-48,0.0,0.0,0.0,0.12061184919726659,0.6511869100062933,4,1,0.5
Certain infectious and parasitic diseases,1,0.088706761480053,05-10-2023-20-31-38,0.0,0.0,0.0,0.06776781954353087,0.4692813089993707,4,1,0.1
Certain infectious and parasitic diseases,1,0.088706761480053,05-09-2023-11-44-12,0.0,0.0,0.0,0.11089732122307885,0.659921963499056,3,1,1.0
Certain infectious and parasitic diseases,1,0.088706761480053,05-10-2023-01-12-25,0.0,0.0,0.0,0.1265230161934718,0.6786003775959722,3,1,0.5
Certain infectious and parasitic diseases,1,0.088706761480053,05-10-2023-21-48-42,0.0,0.0,0.0,0.06761514552303816,0.4613517935808685,3,1,0.02
Certain infectious and parasitic diseases,1,0.088706761480053,05-09-2023-16-04-37,0.0,0.0,0.0,0.10827791799738357,0.6307765890497168,4,1,1.0
Certain infectious and parasitic diseases,1,0.088706761480053,05-10-2023-21-13-54,0.0,0.0,0.0,0.05047293690308731,0.3414348646947765,1,1,0.02
Certain infectious and parasitic diseases,1,0.088706761480053,05-09-2023-00-00-28,0.0,0.0,0.0,0.10846646810466694,0.5621699181875393,0,1,1.0
Certain infectious and parasitic diseases,1,0.088706761480053,05-10-2023-20-57-31,0.0,0.0,0.0,0.07779000881582113,0.49269225928256766,0,1,0.02
Certain infectious and parasitic diseases,1,0.088706761480053,05-10-2023-18-57-01,0.0,0.0,0.0,0.051993636162600734,0.36515040906230334,1,1,0.1
Certain infectious and parasitic diseases,1,0.088706761480053,05-10-2023-22-05-56,0.0,0.0,0.0,0.07315811408219233,0.4872146003775959,4,1,0.02
Certain infectious and parasitic diseases,1,0.088706761480053,05-10-2023-19-27-52,0.0,0.0,0.0,0.0983494738773389,0.5824543738200126,2,1,0.1
Certain infectious and parasitic diseases,1,0.088706761480053,05-09-2023-18-23-48,0.0,0.0,0.0,0.09875662174656014,0.5725915670232851,0,1,0.5
Certain infectious and parasitic diseases,1,0.088706761480053,05-10-2023-21-32-53,0.0,0.0,0.0,0.06286945601255467,0.44972183763373186,2,1,0.02
Certain infectious and parasitic diseases,1,0.088706761480053,05-10-2023-20-03-40,0.0,0.0,0.0,0.07884427442168235,0.44701825047199495,3,1,0.1
Certain infectious and parasitic diseases,1,0.088706761480053,05-09-2023-23-05-22,0.0,0.0,0.0,0.1020800301262878,0.5872523599748269,2,1,0.5
Neoplasms,2,0.1716282993853199,05-10-2023-18-12-25,0.0,0.0,0.0,0.18062232692136637,0.6015959449751501,0,2,0.1
Neoplasms,2,0.1716282993853199,05-09-2023-14-19-31,0.19844357976653695,0.4594594594594595,0.27717391304347827,0.3777665233817997,0.7815777315468861,4,2,1.0
Neoplasms,2,0.1716282993853199,05-09-2023-02-28-34,0.6264591439688716,0.6491935483870968,0.6376237623762376,0.6318526686334178,0.8830601764192186,1,2,1.0
Neoplasms,2,0.1716282993853199,05-10-2023-19-17-10,0.0,0.0,0.0,0.16970013675641044,0.5729298248893708,2,2,0.1
Neoplasms,2,0.1716282993853199,05-09-2023-06-23-32,0.3735408560311284,0.5,0.42761692650334077,0.4070261360684292,0.7967092981954819,2,2,1.0
Neoplasms,2,0.1716282993853199,05-09-2023-17-22-21,0.0,0.0,0.0,0.20896035270411475,0.6110177888043499,0,2,0.5
Neoplasms,2,0.1716282993853199,05-10-2023-20-22-16,0.0,0.0,0.0,0.17381584459772997,0.5847284944011066,4,2,0.1
Neoplasms,2,0.1716282993853199,05-10-2023-18-42-42,0.0,0.0,0.0,0.16063500557107652,0.564191652267732,1,2,0.1
Neoplasms,2,0.1716282993853199,05-09-2023-22-16-03,0.0,0.0,0.0,0.1890720456063188,0.6042184649979035,2,2,0.5
Neoplasms,2,0.1716282993853199,05-09-2023-09-59-59,0.0,0.0,0.0,0.20820527842233394,0.6484287579884044,3,2,1.0
Neoplasms,2,0.1716282993853199,05-10-2023-21-59-04,0.0038910505836575876,1.0,0.007751937984496124,0.17111400621883704,0.5684085149112429,4,2,0.02
Neoplasms,2,0.1716282993853199,05-10-2023-21-42-21,0.0,0.0,0.0,0.11307581093612717,0.3821668638452767,3,2,0.02
Neoplasms,2,0.1716282993853199,05-10-2023-20-50-54,0.0,0.0,0.0,0.16388271540949473,0.570829405339579,0,2,0.02
Neoplasms,2,0.1716282993853199,05-09-2023-19-53-07,0.0,0.0,0.0,0.17814351979752546,0.5726694423005536,1,2,0.5
Neoplasms,2,0.1716282993853199,05-10-2023-21-24-57,0.0,0.0,0.0,0.18172218033628654,0.5848780474777606,2,2,0.02
Neoplasms,2,0.1716282993853199,05-10-2023-19-48-31,0.0,0.0,0.0,0.1377661419426503,0.41927205039938686,3,2,0.1
Neoplasms,2,0.1716282993853199,05-10-2023-02-37-41,0.0,0.0,0.0,0.22441492192494472,0.6631690831061106,4,2,0.5
Neoplasms,2,0.1716282993853199,05-08-2023-22-20-07,0.0,0.0,0.0,0.19766942613226907,0.629340711285115,0,2,1.0
Neoplasms,2,0.1716282993853199,05-10-2023-21-07-50,0.0,0.0,0.0,0.11070083019983465,0.3634593763102585,1,2,0.02
Neoplasms,2,0.1716282993853199,05-10-2023-00-19-12,0.0,0.0,0.0,0.2008423484387664,0.6147672980833171,3,2,0.5
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,0.0971435458599493,05-10-2023-21-31-56,0.0,0.0,0.0,0.10536971985623791,0.5272142655523238,2,3,0.02
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,0.0971435458599493,05-10-2023-19-26-05,0.0,0.0,0.0,0.10435276103538554,0.5285519678951438,2,3,0.1
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,0.0971435458599493,05-10-2023-18-55-50,0.0,0.0,0.0,0.0879955741688687,0.4202737585345,1,3,0.1
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,0.0971435458599493,05-09-2023-03-58-16,0.0,0.0,0.0,0.13739268331874482,0.6098040900146862,1,3,1.0
Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3,0.0971435458599493,05-08-2023-23-51-50,0.0,0.0,0.0,0.14246312496282462,0.5837045764147122,0,3,1.0
