icd10 chapter,target,prevalence,time_stamp,recall,precision,f1-score,pr_auc,roc_auc,random_seed,target_label,training_percentage
Certain infectious and parasitic diseases,1,0.088706761480053,05-05-2023-00-22-31,0.0,0.0,0.0,0.0947178951452278,0.5542655758338577,3,1,0.1
Certain infectious and parasitic diseases,1,0.088706761480053,05-04-2023-00-49-03,0.0,0.0,0.0,0.10877132409328036,0.6328105726872247,2,1,0.5
Certain infectious and parasitic diseases,1,0.088706761480053,05-04-2023-05-35-32,0.0,0.0,0.0,0.11745363711092165,0.6599018250471995,4,1,0.5
Certain infectious and parasitic diseases,1,0.088706761480053,05-05-2023-00-54-25,0.0,0.0,0.0,0.0747742921219835,0.48877281308999376,4,1,0.1
Certain infectious and parasitic diseases,1,0.088706761480053,05-02-2023-18-02-26,0.0,0.0,0.0,0.11193213291492539,0.6601787287602265,0,1,1.0
Certain infectious and parasitic diseases,1,0.088706761480053,05-04-2023-23-10-38,0.0,0.0,0.0,0.07684125866746014,0.47638263058527375,1,1,0.1
Certain infectious and parasitic diseases,1,0.088706761480053,05-04-2023-22-34-45,0.0,0.0,0.0,0.06898109083788259,0.4682290748898678,0,1,0.1
Certain infectious and parasitic diseases,1,0.088706761480053,05-03-2023-11-27-45,0.0,0.0,0.0,0.0994754892333305,0.5839421019509126,4,1,1.0
Certain infectious and parasitic diseases,1,0.088706761480053,05-03-2023-19-57-14,0.0,0.0,0.0,0.10021842944392276,0.5808508495909376,0,1,0.5
Certain infectious and parasitic diseases,1,0.088706761480053,05-02-2023-22-42-44,0.0,0.0,0.0,0.12024392715822012,0.6625298930144745,1,1,1.0
Certain infectious and parasitic diseases,1,0.088706761480053,05-04-2023-23-43-21,0.0,0.0,0.0,0.08441557826375778,0.5211881686595343,2,1,0.1
Certain infectious and parasitic diseases,1,0.088706761480053,05-04-2023-03-18-36,0.0,0.0,0.0,0.11334494874980325,0.6677356828193832,3,1,0.5
Certain infectious and parasitic diseases,1,0.088706761480053,05-03-2023-03-01-51,0.0,0.0,0.0,0.09983619121967081,0.5891050975456261,2,1,1.0
Certain infectious and parasitic diseases,1,0.088706761480053,05-03-2023-22-22-06,0.0,0.0,0.0,0.11066854377660575,0.6597608558842039,1,1,0.5
Certain infectious and parasitic diseases,1,0.088706761480053,05-03-2023-07-20-00,0.0,0.0,0.0,0.11366135115574283,0.6627866582756451,3,1,1.0
Neoplasms,2,0.1716282993853199,05-02-2023-16-08-24,0.0,0.0,0.0,0.18350539781664293,0.6026401459210734,0,2,1.0
Neoplasms,2,0.1716282993853199,05-03-2023-05-26-02,0.0,0.0,0.0,0.2112871931094749,0.635365563801746,3,2,1.0
Neoplasms,2,0.1716282993853199,05-03-2023-21-20-39,0.0,0.0,0.0,0.1763486423281162,0.59507703318743,1,2,0.5
Neoplasms,2,0.1716282993853199,05-05-2023-00-07-57,0.0,0.0,0.0,0.18816761675461435,0.611023129985659,3,2,0.1
