concept_code,concept_name,concept_chapter,concept_category
III,valeur inconnue,0,III
ZZZ,non précisé,0,ZZZ
A00,choléra,1,A00
A00-B99,Certain infectious and parasitic diseases,1,
A000,"choléra à vibrio cholerae 01, biovar cholerae",1,A00
A001,"choléra à vibrio cholerae 01, biovar el tor",1,A00
A009,"choléra, sans précision",1,A00
A01,fièvres typhoïde et paratyphoïde,1,A01
A010,fièvre typhoïde,1,A01
A011,paratyphoïde a,1,A01
A012,paratyphoïde b,1,A01
A013,paratyphoïde c,1,A01
A014,"paratyphoïde, sans précision",1,A01
A02,autres salmonelloses,1,A02
A020,entérite à salmonella,1,A02
A021,sepsis à salmonella,1,A02
A022,infection localisée à salmonella,1,A02
A028,autres infections précisées à salmonella,1,A02
A029,"salmonellose, sans précision",1,A02
A03,shigellose,1,A03
A030,shigellose à shigella dysenteriae,1,A03
A031,shigellose à shigella flexneri,1,A03
A032,shigellose à shigella boydii,1,A03
A033,shigellose à shigella sonnei,1,A03
A038,autres shigelloses,1,A03
A039,"shigellose, sans précision",1,A03
A04,autres infections intestinales bactériennes,1,A04
A040,infection entéropathogène à escherichia coli,1,A04
A041,infection entérotoxigène à escherichia coli,1,A04
A042,infection entéro-invasive à escherichia coli,1,A04
A043,infection entéro-hémorragique à escherichia coli,1,A04
A044,autres infections intestinales à escherichia coli,1,A04
A045,entérite à campylobacter,1,A04
A046,entérite à yersinia enterocolitica,1,A04
A047,entérocolite à clostridium difficile,1,A04
A048,autres infections intestinales bactériennes précisées,1,A04
A049,"infection intestinale bactérienne, sans précision",1,A04
A05,"autres intoxications bactériennes d'origine alimentaire, non classées ailleurs",1,A05
A050,intoxication alimentaire à staphylocoques,1,A05
A051,botulisme,1,A05
A052,intoxication alimentaire à clostridium perfringens [clostridium welchii],1,A05
A053,intoxication alimentaire à vibrio parahaemolyticus,1,A05
A054,intoxication alimentaire à bacillus cereus,1,A05
A058,autres intoxications bactériennes d'origine alimentaire précisées,1,A05
A059,"intoxication bactérienne d'origine alimentaire, sans précision",1,A05
A06,amibiase,1,A06
A060,dysenterie amibienne (aiguë),1,A06
A061,amibiase intestinale chronique,1,A06
A062,colite amibienne non dysentérique,1,A06
A063,amobome (de l'intestin),1,A06
A064,abcès amibien du foie,1,A06
A065,abcès amibien du poumon (j99.8*),1,A06
A066,abcès amibien du cerveau (g07*),1,A06
A067,amibiase cutanée,1,A06
A068,autres localisations d'une infection amibienne,1,A06
A069,"amibiase, sans précision",1,A06
A07,autres maladies intestinales à protozoaires,1,A07
A070,balantidiose,1,A07
A071,giardiase [lambliase],1,A07
A072,cryptosporidiose,1,A07
A073,infection à isospora,1,A07
A078,"autres maladies intestinales précisées, à protozoaires",1,A07
A079,"maladie intestinale à protozoaires, sans précision",1,A07
A08,infections virales intestinales et autres infections intestinales précisées,1,A08
A080,entérite à rotavirus,1,A08
A081,gastro-entéropathie (aiguë) à l'agent de norwalk,1,A08
A082,entérite à adénovirus,1,A08
A083,autres entérites virales,1,A08
A084,"infections intestinales virales, sans précision",1,A08
A085,autres infections intestinales précisées,1,A08
A09,autres gastroentérites et colites d'origine infectieuse et non précisée,1,A09
A090,"gastroentérites et colites d'origine infectieuse, autres et non précisées",1,A09
A099,gastroentérites et colites d'origine non précisée,1,A09
A15,"tuberculose de l'appareil respiratoire, avec confirmation bactériologique et histologique",1,A15
A150,"tuberculose pulmonaire, confirmée par examen microscopique de l'expectoration, avec ou sans culture",1,A15
A151,"tuberculose pulmonaire, confirmée par culture seulement",1,A15
A152,"tuberculose pulmonaire, avec confirmation histologique",1,A15
A153,"tuberculose pulmonaire, avec confirmation, moyen non précisé",1,A15
A154,"tuberculose des ganglions intrathoraciques, avec confirmation bactériologique et histologique",1,A15
A155,"tuberculose du larynx, de la trachée et des bronches, avec confirmation bactériologique et histologique",1,A15
A156,"pleurésie tuberculeuse, avec confirmation bactériologique et histologique",1,A15
A157,"primo-infection tuberculeuse de l'appareil respiratoire, avec confirmation bactériologique et histologique",1,A15
A158,"autres formes de tuberculose de l'appareil respiratoire, avec confirmation bactériologique et histologique",1,A15
A159,"tuberculose de l'appareil respiratoire sans précision, avec confirmation bactériologique et histologique",1,A15
A16,"tuberculose de l'appareil respiratoire, sans confirmation bactériologique ou histologique",1,A16
A160,"tuberculose pulmonaire, avec examens bactériologique et histologique négatifs",1,A16
A161,"tuberculose pulmonaire, sans examen bactériologique et histologique",1,A16
A162,"tuberculose pulmonaire, (sans mention de confirmation bactériologique ou histologique)",1,A16
A163,"tuberculose des ganglions intrathoraciques, (sans mention de confirmation bactériologique ou histologique)",1,A16
A164,"tuberculose du larynx, de la trachée et des bronches, (sans mention de confirmation bactériologique ou histologique)",1,A16
A165,"pleurésie tuberculeuse, (sans mention de confirmation bactériologique ou histologique)",1,A16
A167,"primo-infection tuberculeuse de l'appareil respiratoire, (sans mention de confirmation bactériologique ou histologique)",1,A16
A168,"autres formes de tuberculose de l'appareil respiratoire, (sans mention de confirmation bactériologique ou histologique)",1,A16
A169,"tuberculose de l'appareil respiratoire sans précision, (sans mention de confirmation bactériologique ou histologique)",1,A16
A17,tuberculose du système nerveux,1,A17
A170,méningite tuberculeuse (g01*),1,A17
A171,tuberculome méningé (g07*),1,A17
A178,autres formes de tuberculose du système nerveux,1,A17
A179,"tuberculose du système nerveux, sans précision (g99.8*)",1,A17
A18,tuberculose d'autres organes,1,A18
A180,tuberculose des os et des articulations,1,A18
A181,tuberculose de l'appareil génito-urinaire,1,A18
A182,adénopathie tuberculeuse périphérique,1,A18
A183,"tuberculose de l'intestin, du péritoine et des ganglions mésentériques",1,A18
A184,tuberculose de la peau et du tissu cellulaire sous-cutané,1,A18
A185,tuberculose de l'oeil,1,A18
A186,tuberculose de l'oreille,1,A18
A187,tuberculose des surrénales (e35.1*),1,A18
A188,tuberculose d'autres organes précisés,1,A18
A19,tuberculose miliaire,1,A19
A190,"tuberculose miliaire aiguë, localisation unique et précisée",1,A19
A191,"tuberculose miliaire aiguë, sièges multiples",1,A19
A192,"tuberculose miliaire aiguë, sans précision",1,A19
A198,autres tuberculoses miliaires,1,A19
A199,"tuberculose miliaire, sans précision",1,A19
A20,peste,1,A20
A200,peste bubonique,1,A20
A201,peste cutanée,1,A20
A202,peste pulmonaire,1,A20
A203,peste méningée,1,A20
A207,peste septique,1,A20
A208,autres formes de peste,1,A20
A209,"peste, sans précision",1,A20
A21,tularémie,1,A21
A210,tularémie ulcéro-glandulaire,1,A21
A211,tularémie oculo-glandulaire,1,A21
A212,tularémie pulmonaire,1,A21
A213,tularémie gastro-intestinale,1,A21
A217,tularémie généralisée,1,A21
A218,autres formes de tularémie,1,A21
A219,"tularémie, sans précision",1,A21
A22,charbon,1,A22
A220,charbon cutané,1,A22
A221,charbon pulmonaire,1,A22
A222,charbon gastro-intestinal,1,A22
A227,septis charbonneux,1,A22
A228,autres formes de charbon,1,A22
A229,"charbon, sans précision",1,A22
A23,brucellose,1,A23
A230,brucellose à brucella melitensis,1,A23
A231,brucellose à brucella abortus,1,A23
A232,brucellose à brucella suis,1,A23
A233,brucellose à brucella canis,1,A23
A238,autres brucelloses,1,A23
A239,"brucellose, sans précision",1,A23
A24,morve et mélioïdose,1,A24
A240,morve,1,A24
A241,mélioïdose aiguë et galopante,1,A24
A242,mélioïdose subaiguë et chronique,1,A24
A243,autres mélioïdoses,1,A24
A244,"mélioïdose, sans précision",1,A24
A25,fièvres causées par morsure de rat,1,A25
A250,spirillose,1,A25
A251,streptobacillose,1,A25
A259,"fièvre causée par morsure de rat, sans précision",1,A25
A26,érysipéloïde,1,A26
A260,érysipéloïde cutanée,1,A26
A267,sepsis à erysipelothrix,1,A26
A268,autres formes d'érysipéloïde,1,A26
A269,"érysipéloïde, sans précision",1,A26
A27,leptospirose,1,A27
A270,leptospirose ictéro-hémorragique,1,A27
