event_source_concept_id,target_concept_id
10-9,277
100-8,270
1003-3,1154
1004-1,1154
1005-8,1154
1006-6,1154
1007-4,1153
1008-2,1153
101-6,270
1010-8,1131
1011-6,1131
1012-4,1131
1013-2,1146
1014-0,1146
1015-7,1146
1016-5,1131
1017-3,1131
1018-1,1131
1019-9,1145
102-4,277
1020-7,1145
1021-5,1145
1022-3,1131
10226-9,999
1023-1,1131
10232-7,999
10233-5,999
10234-3,999
10235-0,999
10236-8,999
10237-6,999
10238-4,999
10239-2,999
1024-9,1131
10240-0,999
10241-8,999
10242-6,999
10243-4,999
10244-2,999
10245-9,999
10246-7,999
10247-5,999
10248-3,999
1025-6,1146
1026-4,1146
1027-2,1146
1028-0,1131
1029-8,1131
1030-6,1131
1031-4,1146
1032-2,1146
1033-0,1146
10331-7,1146
10334-1,7325
10339-0,1665
10341-6,1659
10343-2,1662
10346-5,1114
10347-3,1126
10351-5,4122
10352-3,5204
10353-1,5209
10354-9,5204
1036-3,1131
10360-6,1458
10361-4,1458
10363-0,672
10367-1,534
10368-9,565
1037-1,1131
10376-2,1104
10378-8,1104
10379-6,1104
1038-9,1131
10380-4,1104
10381-2,1104
1039-7,1146
10398-6,1146
10399-4,1146
104-0,270
1040-5,1146
10400-0,1146
10406-7,1131
10407-5,1131
10408-3,1131
1041-3,1146
1042-1,1131
1043-9,1131
1044-7,1131
10453-9,1414
105-7,270
10501-5,472
10524-7,5202
10525-4,5222
10527-0,5215
10529-6,1665
10530-4,1673
10533-8,1659
10535-3,327
10547-8,1670
10561-9,73
10567-6,72
10568-4,70
10569-2,70
10574-2,72
1058-7,1131
1059-5,1131
106-5,277
1060-3,1131
10611-2,75
10615-3,77
10617-9,77
10619-5,77
10622-9,75
10633-6,72
10634-4,1810
10635-1,5218
10636-9,268
10637-7,5215
10638-5,252
10639-3,252
10643-5,287
10645-0,5291
10646-8,4217
10647-6,1126
10648-4,1126
10653-4,270
10654-2,277
10655-9,5231
10656-7,5207
10659-1,5207
10662-5,1126
10663-3,1126
10664-1,1126
10665-8,280
10666-6,5215
10667-4,280
10668-2,280
10669-0,280
1067-8,1131
10670-8,287
10676-5,4124
1068-6,1131
10680-7,4224
10681-5,4224
10683-1,5210
10688-0,5214
10689-8,5214
1069-4,1131
10690-6,5231
10691-4,280
10692-2,280
10693-0,280
10697-1,5280
1070-2,1146
10700-3,4257
10701-1,287
10702-9,287
10703-7,287
10704-5,287
10709-4,5291
1071-0,1146
10710-2,1125
10711-0,5291
10713-6,5222
10715-1,266
10716-9,286
10718-5,4362
1072-8,1146
10723-5,1431
10724-3,1204
10728-4,5204
10729-2,1126
1073-6,1131
10730-0,1126
10731-8,1126
10732-6,1126
10733-4,1126
10736-7,4204
10737-5,4204
10738-3,4204
10739-1,4204
1074-4,1131
1075-1,1131
10753-2,1630
1076-9,1146
1077-7,1146
1078-5,1146
1079-3,1131
108-1,270
1080-1,1131
1081-9,1131
1082-7,1145
1083-5,1145
10839-9,7335
1084-3,1145
1085-0,1131
10850-6,252
10851-4,5207
10853-0,5222
10855-5,268
10856-3,5204
10857-1,5222
10859-7,1126
1086-8,1131
10860-5,4234
10864-7,1183
10868-8,270
1087-6,1131
10873-8,321
1088-4,1145
10880-3,1630
10884-5,1630
10885-2,638
10886-0,7320
1089-2,1145
10894-4,6307
10895-1,5207
109-9,270
1090-0,1145
10900-9,323
10901-7,390
10902-5,390
1091-8,1131
10912-4,565
10915-7,659
10919-9,1204
1092-6,1131
10920-7,1205
10921-5,1204
10922-3,1204
10923-1,1205
10924-9,1205
10925-6,1205
10927-2,1205
10928-0,1205
10929-8,1205
1093-4,1131
10930-6,1204
10931-4,1204
10932-2,1204
10933-0,1205
10934-8,1205
10936-3,1205
10937-1,1205
10938-9,1204
10939-7,1205
1094-2,1145
10940-5,1205
10941-3,1205
10942-1,1205
10943-9,1204
10944-7,1205
10945-4,1205
10946-2,1205
10947-0,1205
10948-8,1204
10949-6,1204
1095-9,1145
10950-4,1204
10951-2,1205
10954-6,1205
10955-3,1204
10956-1,1204
10957-9,1204
10958-7,1204
10959-5,1205
1096-7,1145
10960-3,1204
10961-1,1204
10963-7,1204
1097-5,1131
10971-0,1519
10975-1,659
10977-7,1662
10978-5,665
1098-3,1131
10985-0,1665
10988-4,1665
1099-1,1131
10992-6,1662
10995-9,1651
110-7,277
1100-7,1145
11000-7,662
11004-9,663
1101-5,1145
11011-4,4124
1102-3,1145
11029-6,1622
1103-1,1131
11030-4,1201
11038-7,7302
1104-9,1131
11040-3,476
11046-0,477
1105-6,1131
11052-8,659
11054-4,2001
1106-4,1145
11060-1,1630
11068-4,5231
11069-2,5231
1107-2,1145
11070-0,5201
11071-8,673
11072-6,1659
11073-4,659
11076-7,4126
11078-3,390
11079-1,390
1108-0,1145
11080-9,390
11081-7,390
11082-5,390
11085-8,287
11087-4,1482
11090-8,1457
1110-6,1131
11101-3,5231
11102-1,5222
11103-9,1106
11104-7,1106
11105-4,1106
11106-2,1106
11107-0,1106
11108-8,1106
11109-6,1106
1111-4,1131
11110-4,1106
