nabm_concept_name,nabm_concept_code,loinc_concept_name,loinc_concept_code
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,3249,Coxiella burnetii phase 1 IgG Ab [Titer] in Serum by Immunofluorescence,34716-1
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,1249,Coxiella burnetii phase 1 IgG Ab [Titer] in Serum by Immunofluorescence,34716-1
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,3249,Coxiella burnetii phase 2 IgG Ab [Titer] in Serum by Immunofluorescence,34717-9
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,1249,Coxiella burnetii phase 2 IgG Ab [Titer] in Serum by Immunofluorescence,34717-9
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,3249,Coxiella burnetii phase 2 IgG Ab [Presence] in Serum by Immunofluorescence,48719-9
FIEVRE Q (COXIELLA BURNETTI) :  SERODIAGNOSTIC DE DEPISTAGE AVEC UN  ANTIGENE DE PHASE II (IFI),1316,Coxiella burnetii phase 2 IgG Ab [Presence] in Serum by Immunofluorescence,48719-9
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,1249,Coxiella burnetii phase 2 IgG Ab [Presence] in Serum by Immunofluorescence,48719-9
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,3249,Coxiella burnetii phase 1 IgG Ab [Presence] in Serum by Immunofluorescence,48720-7
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,1249,Coxiella burnetii phase 1 IgG Ab [Presence] in Serum by Immunofluorescence,48720-7
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,3249,Coxiella burnetii phase 1 IgA Ab [Titer] in Serum by Immunofluorescence,48848-6
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,1249,Coxiella burnetii phase 1 IgA Ab [Titer] in Serum by Immunofluorescence,48848-6
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,3249,Coxiella burnetii phase 2 IgA Ab [Titer] in Serum by Immunofluorescence,48849-4
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,1249,Coxiella burnetii phase 2 IgA Ab [Titer] in Serum by Immunofluorescence,48849-4
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,3249,Coxiella burnetii phase 1 IgG Ab [Titer] in Body fluid by Immunofluorescence,48888-2
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,1249,Coxiella burnetii phase 1 IgG Ab [Titer] in Body fluid by Immunofluorescence,48888-2
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,3249,Coxiella burnetii phase 1 IgA Ab [Titer] in Body fluid by Immunofluorescence,48889-0
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,1249,Coxiella burnetii phase 1 IgA Ab [Titer] in Body fluid by Immunofluorescence,48889-0
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,3249,Coxiella burnetii phase 2 IgA Ab [Titer] in Body fluid by Immunofluorescence,48891-6
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,1249,Coxiella burnetii phase 2 IgA Ab [Titer] in Body fluid by Immunofluorescence,48891-6
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,3249,Coxiella burnetii phase 2 IgG Ab [Titer] in Body fluid by Immunofluorescence,48893-2
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,1249,Coxiella burnetii phase 2 IgG Ab [Titer] in Body fluid by Immunofluorescence,48893-2
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,3249,Coxiella burnetii phase 2 IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,58761-8
FIEVRE Q CHRONIQUE (COXIELLA BURNETTI) : SERODIAGNOSTIC (IGG ET IGA) AVEC UN ANTIGENE DE PHASE I ET,1249,Coxiella burnetii phase 2 IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence,58761-8
HELICOBACTER PYLORI : TEST RESPIRATOIRE A L'UREE MARQUEE AU CARBONE 13. ANALYSE DES DEUX ECHANTILL,5234,Helicobacter pylori [Presence] in Stomach by urea breath test,29891-9
SANG : UREE,591,Urea [Moles/volume] in Serum or Plasma,22664-7
